install,Copy files and set attributes,/usr/bin/install,,,,
iostat,Report CPU and i/o statistics,,,,,
ip,"Routing, devices and tunnels",/bin/ip,,,,
jobs,List active jobs •,shell builtin,,,,
join,Join lines on a common field,/usr/bin/join,,,,
kill,Kill a process by specifying its PID,shell builtin,,,,
killall,Kill processes by name,/usr/bin/killall,,,,
less,Display output one screen at a time,/usr/bin/less,,,,
let,Perform arithmetic on shell variables •,shell builtin,,,,
link,Create a link to a file,/usr/bin/link,,,,
ln,Create a symbolic link to a file,/bin/ln,,,,
local,Create a function variable •,shell builtin,,,,
locate,Find files,/usr/bin/locate,,,,
logname,Print current login name,/usr/bin/logname,,,,
logout,Exit a login shell •,shell builtin,,,,
look,Display lines beginning with a given string,/usr/bin/look,,,,
lpc,Line printer control program,,,,,
lpr,Off line print,,,,,
lprint,Print a file,,,,,
lprintd,Delete a print job,,,,,
lprintq,List the print queue,,,,,
lprm,Remove jobs from the print queue,,,,,
lsattr,List file attributes on a Linux second extended file system,/usr/bin/lsattr,,,,
lsblk,List block devices,/bin/lsblk,,,,
ls,List information about file(s),alias - external,,,,
lsof,List open files,/usr/bin/lsof,,,,
lspci,List all PCI devices,/usr/bin/lspci,,,,
make,Recompile a group of programs,/usr/bin/make,,,,
man,Help manual,/usr/bin/man,,,,
mapfile,Read lines from standard input into an indexed array variable,shell builtin,,,,
mkdir,Create new folder(s),/bin/mkdir,,,,
mkfifo,Make FIFOs (named pipes),,,,,
mkfile,Make a file,,,,,
mkisofs,Create a hybrid ISO9660/JOLIET/HFS filesystem,,,,,
mknod,Make block or character special files,,,,,
mktemp,Make a temporary file,,,,,
more,Display output one screen at a time,/bin/more,,,,
most,Browse or page through a text file,,,,,
mount,Mount a file system,,,,,
mtools,Manipulate MS-DOS files,,,,,
mtr,Network diagnostics (traceroute/ping),,,,,
mv,Move or rename files or directories,/bin/mv,,,,
mmv,Mass Move and rename (files),,,,,
nc,"Netcat, read and write data across networks",,,,,
netstat,Networking connections/stats,,,,,
nft,nftables for packet filtering and classification,,,,,
nice,Set the priority of a command or job,,,,,
nl,Number lines and write files,/usr/bin/nl,,,,
nohup,Run a command immune to hangups,/usr/bin/nohup,,,,
notify-send,Send desktop notifications,,,,,
nslookup,Query Internet name servers interactively,,,,,
open,Open a file in its default application,,,,,
op,Operator access,,,,,
passwd,Modify a user password,/usr/bin/passwd,,,,
paste,Merge lines of files,/usr/bin/paste,,,,
